nveh,mean_speed,heavy_share,congestion_score,emission_score,aqi_proxy,label
1.0,50.064524281551165,0.0,1.4,1.1,125.81800000000003,no_action
2.0,45.05819653361886,0.0,2.8,2.2,128.12800000000001,no_action
3.0,40.19168502198558,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
1.0,49.370356217864675,0.0,1.4,1.1,125.81800000000003,no_action
1.0,0.0,0.0,56.2,47.9,224.098,no_action
1.0,8.048519903706785,0.0,36.49325621184507,29.002960192586432,184.41421640443153,no_action
2.0,48.009097467716984,0.0,2.8,2.2,128.12800000000001,no_action
2.0,33.433589677353424,0.0,2.8,2.2,128.12800000000001,no_action
1.0,54.181345960217975,0.0,1.4,1.1,125.81800000000003,no_action
1.0,39.98830980524508,0.0,1.4,1.1,125.81800000000003,no_action
1.0,44.6741385737509,0.0,1.4,1.1,125.81800000000003,no_action
1.0,24.380445599999998,0.0,1.4,1.1,125.81800000000003,no_action
1.0,46.330460826340094,0.0,1.4,1.1,125.81800000000003,no_action
1.0,0.0,0.0,56.2,47.9,224.098,no_action
1.0,64.94943448938248,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.95930244042432,0.0,1.4,1.1,125.81800000000003,no_action
2.0,31.477602107686614,0.0,2.8,2.2,128.12800000000001,no_action
5.0,2.8615558056941888,0.0,61.504577227472794,54.97688838861163,238.95946561608446,speed_harmonization
1.0,19.194964040226473,0.0,11.97107911150176,6.710071919547053,137.59915103104885,no_action
1.0,59.947215086104826,0.0,1.4,1.1,125.81800000000003,no_action
1.0,24.945200082316266,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.85212423992401,0.0,1.4,1.1,125.81800000000003,no_action
2.0,28.974852781597143,0.0,2.8,2.2,128.12800000000001,no_action
1.0,54.08836759099111,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.781111546409996,0.0,1.4,1.1,125.81800000000003,no_action
3.0,48.108852658675936,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
1.0,51.87979039975572,0.0,1.4,1.1,125.81800000000003,no_action
1.0,37.32380846628376,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.17546964179954,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.87714664440379,0.0,1.4,1.1,125.81800000000003,no_action
4.0,38.42280502876383,0.0,5.6,4.4,132.74800000000002,no_action
1.0,50.00399818726453,0.0,1.4,1.1,125.81800000000003,no_action
1.0,64.67270919635013,0.0,1.4,1.1,125.81800000000003,no_action
2.0,44.61520449421781,0.0,2.8,2.2,128.12800000000001,no_action
1.0,48.17283392450584,0.0,1.4,1.1,125.81800000000003,no_action
1.0,38.256886319394795,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.3380865014571,0.0,1.4,1.1,125.81800000000003,no_action
1.0,46.43696656551664,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.97986984380103,0.0,1.4,1.1,125.81800000000003,no_action
2.0,49.1405064891313,0.0,2.8,2.2,128.12800000000001,no_action
1.0,87.90073655884758,0.0,1.4,1.1,125.81800000000003,no_action
1.0,64.9065980701055,0.0,1.4,1.1,125.81800000000003,no_action
1.0,64.99799974135625,0.0,1.4,1.1,125.81800000000003,no_action
1.0,39.92627108125108,0.0,1.4,1.1,125.81800000000003,no_action
1.0,43.158838047627754,0.0,1.4,1.1,125.81800000000003,no_action
1.0,87.40121670158557,0.0,1.4,1.1,125.81800000000003,no_action
2.0,83.05368573787786,0.0,2.8,2.2,128.12800000000001,no_action
1.0,70.00199999911719,0.0,1.4,1.1,125.81800000000003,no_action
1.0,74.79142560178293,0.0,1.4,1.1,125.81800000000003,no_action
1.0,74.96359136102411,0.0,1.4,1.1,125.81800000000003,no_action
1.0,72.26027518362034,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.896362593533944,0.0,1.4,1.1,125.81800000000003,no_action
1.0,3.9037045878324492,0.0,45.61184990676861,37.2925908243351,201.82244073110374,no_action
1.0,45.32680129921377,0.0,1.4,1.1,125.81800000000003,no_action
1.0,36.57570726655095,0.0,1.4,1.1,125.81800000000003,no_action
2.0,49.75763793758174,0.0,2.8,2.2,128.12800000000001,no_action
2.0,36.90187929330507,0.0,4.8,5.0,134.00800000000004,no_action
1.0,74.91420535834708,0.0,1.4,1.1,125.81800000000003,no_action
3.0,43.508627451160486,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
1.0,10.884550556055771,0.0,30.253988776677303,23.33089888788846,172.50288766456578,no_action
1.0,42.46750268725176,0.0,1.4,1.1,125.81800000000003,no_action
1.0,68.78627999991457,0.0,1.4,1.1,125.81800000000003,no_action
1.0,63.61704318401057,0.0,1.4,1.1,125.81800000000003,no_action
1.0,16.27207842804164,0.0,18.401427458308387,12.555843143916716,149.87527060222513,no_action
3.0,49.01356663907848,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
1.0,74.73231051004736,0.0,1.4,1.1,125.81800000000003,no_action
2.0,40.4675602713495,0.0,2.8,2.2,128.12800000000001,no_action
1.0,68.19653022690524,0.0,1.4,1.1,125.81800000000003,no_action
1.0,18.82427642731119,0.0,12.786591859915383,7.451447145377619,139.15603900529302,no_action
1.0,39.686761250349434,0.0,1.4,1.1,125.81800000000003,no_action
1.0,29.58476420493091,1.0,1.4,5.1,224.21800000000002,no_action
1.0,0.0,0.0,56.2,47.9,224.098,no_action
1.0,27.085833230230897,0.0,1.4,1.1,125.81800000000003,no_action
2.0,48.00701549296493,0.0,2.8,2.2,128.12800000000001,no_action
4.0,41.6681531474089,0.25,5.6,8.4,163.64800000000002,heavy_vehicle_ban
1.0,10.326261249797973,0.0,31.48222525044446,24.447477500404055,174.84770275084855,no_action
1.0,22.287542512794744,0.0,5.167406471851564,1.1,125.81800000000003,no_action
